District,Year,Government,Private,Total,Retention_Rate,Madhyamik_Pass_Percentage,HS_Pass_Percentage,Literacy_Rate,Girls_Percentage,Performance_Index,Calculated_Total,Total_Difference,Other_Institutions,ID,Madhyamik_Growth_%,HS_Growth_%,HS_Madhyamik_Gap,Literacy_Madhyamik_Gap,Performance_per_Student,Gender_Deviation,Composite_Score
MURSHIDABAD,2018,1496076,168836,1842406,0.2,79.8,79.2,66.6,51.8,76.92,1664912,177494,177494,MURSHIDABAD_2018,0.0,0.0,-0.5999999999999943,-13.200000000000003,4.174975548277633e-05,1.7999999999999972,76.92000000000002
MURSHIDABAD,2019,1474267,201633,1861681,0.29,80.9,82.3,66.6,51.8,78.6,1675900,185781,185781,MURSHIDABAD_2019,1.3784461152882344,3.9141414141414144,1.3999999999999915,-14.300000000000011,4.221990770706689e-05,1.7999999999999972,78.6
MURSHIDABAD,2020,1638038,213501,1905241,0.29,82.2,85.6,66.6,51.84,80.44,1851539,53702,53702,MURSHIDABAD_2020,1.606922126081578,4.009720534629402,3.3999999999999915,-15.600000000000009,4.222038051879001e-05,1.8400000000000034,80.44
NADIA,2018,888046,92698,1000040,0.3,85.8,83.4,75.0,49.64,82.68,980744,19296,19296,NADIA_2018,0.0,0.0,-2.3999999999999915,-10.799999999999997,8.267669293228271e-05,-0.35999999999999943,82.68
NADIA,2019,858471,116356,994858,0.39,86.9,86.2,75.0,49.67,84.24,974827,20031,20031,NADIA_2019,1.2820512820512997,3.3573141486810565,-0.7000000000000028,-11.900000000000006,8.467540091148685e-05,-0.3299999999999983,84.24000000000001
NADIA,2020,871325,127668,1001073,0.39,88.2,89.3,75.0,49.7,86.0,998993,2080,2080,NADIA_2020,1.4959723820483273,3.596287703016232,1.0999999999999943,-13.200000000000003,8.590782090816554e-05,-0.29999999999999716,86.0
NORTH 24 PARGANAS,2018,1375093,67492,1501683,0.29,89.0,86.5,84.1,50.69,87.02,1442585,59098,59098,NORTH 24 PARGANAS_2018,0.0,0.0,-2.5,-4.900000000000006,5.794831532354032e-05,0.6899999999999977,87.02000000000001
NORTH 24 PARGANAS,2019,1333758,58726,1446218,0.41,90.0,89.1,84.1,50.73,88.46,1392484,53734,53734,NORTH 24 PARGANAS_2019,1.1235955056179803,3.0057803468207966,-0.9000000000000057,-5.900000000000006,6.116643548897884e-05,0.7299999999999969,88.46000000000001
NORTH 24 PARGANAS,2020,1378942,160815,1574383,0.39,91.2,91.8,84.1,50.19,90.02,1539757,34626,34626,NORTH 24 PARGANAS_2020,1.333333333333342,3.0303030303030276,0.5999999999999943,-7.1000000000000085,5.717795479244885e-05,0.18999999999999773,90.02000000000001
PASCHIM BARDHAMAN,2018,413857,76649,505374,0.26,74.8,75.9,76.2,50.33,75.52,490506,14868,14868,PASCHIM BARDHAMAN_2018,0.0,0.0,1.1000000000000085,1.4000000000000057,0.00014943388460823072,0.3299999999999983,75.52000000000001
PASCHIM BARDHAMAN,2019,402318,106392,522369,0.37,75.9,79.1,76.2,49.97,77.24,508710,13659,13659,PASCHIM BARDHAMAN_2019,1.4705882352941346,4.216073781291163,3.1999999999999886,0.29999999999999716,0.0001478648235251326,-0.030000000000001137,77.24000000000001
PASCHIM BARDHAMAN,2020,400164,122214,535414,0.38,77.2,82.5,76.2,49.76,79.12,522378,13036,13036,PASCHIM BARDHAMAN_2020,1.7127799736495364,4.298356510745904,5.299999999999997,-1.0,0.0001477734986384368,-0.240000000000002,79.12
PASCHIM MEDINIPUR,2018,895021,69456,990102,0.23,89.6,86.9,78.0,49.23,86.2,964477,25625,25625,PASCHIM MEDINIPUR_2018,0.0,0.0,-2.6999999999999886,-11.599999999999994,8.706173707355405e-05,-0.7700000000000031,86.19999999999999
PASCHIM MEDINIPUR,2019,876157,76633,977675,0.32,90.4,89.4,78.0,49.5,87.52,952790,24885,24885,PASCHIM MEDINIPUR_2019,0.8928571428571619,2.8768699654775576,-1.0,-12.400000000000006,8.951850052420282e-05,-0.5,87.52000000000001
PASCHIM MEDINIPUR,2020,886895,86797,993224,0.33,91.5,92.1,78.0,49.41,89.04,973692,19532,19532,PASCHIM MEDINIPUR_2020,1.2168141592920234,3.0201342281878985,0.5999999999999943,-13.5,8.964745112884908e-05,-0.5900000000000034,89.03999999999999
PURBA BARDHAMAN,2018,808829,53715,892573,0.25,84.0,82.1,76.2,50.48,81.68,862544,30029,30029,PURBA BARDHAMAN_2018,0.0,0.0,-1.9000000000000057,-7.799999999999997,9.151072237228777e-05,0.4799999999999969,81.68
PURBA BARDHAMAN,2019,798642,59894,888472,0.34,85.1,85.1,76.2,50.29,83.32,858536,29936,29936,PURBA BARDHAMAN_2019,1.3095238095238049,3.654080389768577,0.0,-8.899999999999991,9.377898234271872e-05,0.28999999999999915,83.32
PURBA BARDHAMAN,2020,806301,62939,885254,0.35,86.4,88.3,76.2,50.42,85.12,869240,16014,16014,PURBA BARDHAMAN_2020,1.5276145710928501,3.7602820211515953,1.8999999999999915,-10.200000000000003,9.615319445040632e-05,0.4200000000000017,85.12
PURBA MEDINIPUR,2018,910488,117249,1036348,0.24,95.2,91.5,87.0,49.78,92.08,1027737,8611,8611,PURBA MEDINIPUR_2018,0.0,0.0,-3.700000000000003,-8.200000000000003,8.88504633578682e-05,-0.21999999999999886,92.08000000000001
PURBA MEDINIPUR,2019,895995,127737,1031870,0.34,95.9,94.0,87.0,49.72,93.36,1023732,8138,8138,PURBA MEDINIPUR_2019,0.7352941176470562,2.732240437158473,-1.9000000000000057,-8.900000000000006,9.047651351429929e-05,-0.28000000000000114,93.36000000000001
PURBA MEDINIPUR,2020,899794,146251,1046920,0.33,96.6,96.2,87.0,49.59,94.52,1046045,875,875,PURBA MEDINIPUR_2020,0.7299270072992581,2.3404255319148914,-0.3999999999999915,-9.599999999999994,9.028388033469605e-05,-0.4099999999999966,94.52000000000001
PURULIA,2018,635787,52318,717595,0.23,78.4,78.1,64.5,48.69,75.5,688105,29490,29490,PURULIA_2018,0.0,0.0,-0.30000000000001137,-13.900000000000006,0.00010521255025467011,-1.3100000000000023,75.5
PURULIA,2019,630577,50032,707756,0.33,79.5,81.2,64.5,48.81,77.18,680609,27147,27147,PURULIA_2019,1.4030612244897878,3.969270166453276,1.7000000000000028,-15.0,0.00010904888125286116,-1.1899999999999977,77.18
PURULIA,2020,634504,58650,718933,0.35,80.7,84.4,64.5,48.71,78.94,693154,25779,25779,PURULIA_2020,1.5094339622641506,3.9408866995073843,3.700000000000003,-16.200000000000003,0.0001098016087730011,-1.2899999999999991,78.94000000000001
SOUTH 24 PARGANAS,2018,1433715,216527,1726017,0.22,89.2,85.9,77.5,51.41,85.54,1650242,75775,75775,SOUTH 24 PARGANAS_2018,0.0,0.0,-3.299999999999997,-11.700000000000003,4.955918742399409e-05,1.4099999999999966,85.54
SOUTH 24 PARGANAS,2019,1406919,217191,1695127,0.32,90.1,88.6,77.5,51.48,86.98,1624110,71017,71017,SOUTH 24 PARGANAS_2019,1.0089686098654571,3.143189755529674,-1.5,-12.599999999999994,5.131178961812301e-05,1.4799999999999969,86.97999999999999
SOUTH 24 PARGANAS,2020,1456768,243698,1726454,0.33,91.3,91.4,77.5,51.47,88.58,1700466,25988,25988,SOUTH 24 PARGANAS_2020,1.3318534961154205,3.1602708803611934,0.10000000000000853,-13.799999999999997,5.130747763913779e-05,1.4699999999999989,88.58000000000001
UTTAR DINAJPUR,2018,651837,57792,742987,0.17,69.5,73.2,59.1,52.76,68.9,709629,33358,33358,UTTAR DINAJPUR_2018,0.0,0.0,3.700000000000003,-10.399999999999999,9.27337894202725e-05,2.759999999999998,68.9
UTTAR DINAJPUR,2019,636506,67304,737680,0.27,70.7,76.6,59.1,53.11,70.74,703810,33870,33870,UTTAR DINAJPUR_2019,1.726618705035965,4.644808743169393,5.8999999999999915,-11.600000000000001,9.58952391280772e-05,3.1099999999999994,70.74000000000001
UTTAR DINAJPUR,2020,672907,83308,756215,0.28,72.0,80.2,59.1,53.12,72.7,756215,0,0,UTTAR DINAJPUR_2020,1.8387553041018245,4.699738903394257,8.200000000000003,-12.899999999999999,9.613668070588391e-05,3.1199999999999974,72.70000000000002
